"","Metabolites","p-value","vip"
"urea","urea",2.00917170411445e-05,1.20383452183084
"uracil","uracil",2.44921441850932e-05,1.19696281017799
"glutamate","glutamate",1.12726572832927e-05,1.18533376554474
"tyrosine","tyrosine",0.000291477229768459,1.14870296906733
"trigonelline","trigonelline",0.00398312066609827,1.14479478521118
"alanine","alanine",0.000197040269756345,1.13345241941563
"lysine","lysine",0.000118894076290076,1.13188265076654
"valine","valine",9.63637521925901e-05,1.1239587139303
"isoleucine","isoleucine",0.000374340122513523,1.11590648794132
"leucine","leucine",0.000330355363000192,1.11359711719871
"pyruvate","pyruvate",0.000523510913282136,1.10950177055811
"PUFA","PUFA",0.000415205802898913,1.09458005229832
"NAA","NAA",0.000599594506188285,1.0942679824584
"phenylalanine","phenylalanine",0.000939713643239725,1.08258654457436
"OAG","OAG",0.00140593778621533,1.07234784518698
"UDPG","UDPG",0.0012613904560567,1.05666302632307
"3-hydroxybutyrate","3-hydroxybutyrate",0.00107089736381562,1.05400895519899
"creatine","creatine",0.00340352808511049,1.04042580597368
"lactate","lactate",0.00543239317328925,1.04038704917705
"hypoxanthine","hypoxanthine",0.00152203508710141,1.02234878230276
"adenosine","adenosine",0.00462838015098089,1.00353018735016
