Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
142.0244,7.15,41547752,44947143,49938137,31294014,13293836,56966517
388.0338,7.14,10502051,10964534,10916957,11041758,15254244,13382129
306.0306,7.14,10608062,10746870,11138175,11257842,15841205,13775869
470.0363,7.14,9328793,9597253,9481527,9511187,12829471,11691782
224.0274,7.14,9503454,9474063,10475569,10963397,9418581,12721216
552.0394,7.14,8183636,8508284,8565838,8659589,11784963,10913601
607.0813,8.88,11024522,11224221,10645008,709332,770278,571567
97.9769,8.44,2295665,2515344,3226901,3509267,6880246,6089104
634.0425,7.14,6532458,6624614,6888252,6936391,9713284,8844493
716.0455,7.14,5666986,5890659,5942284,6046951,8531333,7613592
93.0417,6.19,5703600,4853745,5990835,6114300,6183204,6061802
157.9983,6.82,6350975,6229776,6019901,4595399,7055473,4448237
307.0839,8.41,5951461,5965089,5719288,3231222,3387706,1997563
93.0418,7.24,3328633,3325209,3381883,3626595,1873004,3309215
149.06,8.39,2365304,2354067,2174388,2688759,2017892,2358639
299.9504,1.16,1376477,1557812,1319361,1509161,1290517,1372643
97.9673,9.06,1520094,1445249,1410904,1491718,1553613,1478898
798.0487,7.14,3014898,3086085,3132735,3169613,4521011,4091296
186.0836,7.24,3314131,3330006,3395831,3640837,1871847,3275399
620.1248,8.88,1,1,1,2944052,3061765,2402943
146.0692,7.97,2096397,2187586,2365157,1610038,2005874,1120225
218.0105,9.69,3543633,2961737,3165117,4957727,2221110,4139279
880.0515,7.14,2645087,2766953,2809283,2859956,4195505,3761413
347.0631,8.17,2002366,2156134,2247252,187324,205661,165827
618.1185,8.89,510,1,981,3199470,3421848,2604629
147.0533,8.39,1747251,1725011,1857116,877882,921963,593274
962.0557,7.14,2212063,2287050,2393510,2425208,3596523,3251127
256.2405,1.3,972253,875012,973635,885207,1032479,837420
284.2717,1.29,1044691,963760,946732,1009958,1293793,941078
113.9929,7.3,730763,1037817,601946,672100,301007,267790
113.9929,7.05,1442193,1108822,706822,1331101,1193663,832696
213.9869,1.33,9336,13174,20515,32985,21208,21485
93.0417,7.04,645588,673946,667655,686612,610874,649524
240.067,1.22,71507,63331,62791,383044,72718,235626
134.0216,7.97,995674,1565394,811343,305717,492468,155514
886.5566,5.63,3040246,2950897,2910389,943055,666479,794613
186.0836,7.24,3311179,3334074,3407537,3641358,1862291,3317954
222.0602,7.04,1322948,1268347,1160382,1249730,1210615,1183517
580.0343,9.53,1439587,1497918,1461177,197332,275007,138253
314.086,1.25,159878,136459,155786,899414,542435,584486
215.056,8.1,1475681,1494395,1345213,704229,800330,560778
405.0612,8.42,1584166,1644030,1570177,955209,1117136,707342
1044.0578,7.14,1609853,1772059,1757402,1817448,2860578,2443336
791.5655,1.73,1935025,2106785,2023355,446465,448222,457540
126.0066,7.04,1550993,1477197,1311960,360794,1470708,1018196
743.5463,1.73,2457736,2474013,2310133,897355,1004879,1009559
819.5985,1.73,2253480,2387875,2191591,579544,623069,585426
133.0376,8.56,1528207,1457306,1055775,700016,635587,324561
352.0797,8.17,2014,907,1248,1171834,1246897,974153
90.0315,6.19,994915,970744,826326,211012,240287,183197
