Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
662.4471,13.96,109067246,101917771,93964156,93213130,92389316,94974611
257.1029,7.96,34947863,34885966,33895855,15115429,19046237,11264470
759.5782,1.76,40241584,41056613,39546633,12955276,12891083,12505790
103.0997,5.82,20054451,20239457,15800986,16254335,22313444,16010134
731.5464,1.77,29410809,29845834,28332079,7580920,7312993,7396510
183.0661,8.72,16314169,17663288,19536385,13402236,20063733,9563651
58.053,5.69,3857946,7349451,4050699,4161665,4804568,5213410
307.0839,8.41,15902577,15276769,15965809,9256004,12048188,8062937
785.5931,1.76,25480206,26037340,24743653,9362611,9468723,9278633
456.4293,2.41,22726371,20181500,20774478,20674939,21848473,24286722
430.4136,2.48,22518571,22209761,20914386,21292195,22165180,21513730
267.9915,7.12,13132811,13605663,8742609,5721883,10562891,10536704
757.562,1.76,21407552,20935661,20075132,6027557,5925110,5679548
458.445,2.38,22933341,21646592,22093172,20793739,21412681,21805706
103.9848,7.13,2294070,3973310,6910566,7158226,1154204,8063596
366.0867,6.96,8858675,1,11016081,9078295,12032591,9471718
431.9977,7.13,9137243,9510989,9730426,9759037,12287205,11569000
58.0527,5.46,2292911,2057897,3823201,1791876,3244908,2603190
260.1123,7.96,1,50424,37245,7667477,9268117,5962868
514.0007,7.13,9194552,9249256,9619656,9467488,6343088,11557098
349.9942,7.12,9054018,8709480,9007182,9416938,11769590,11194876
185.9882,7.15,5244815,5617078,5494112,5472611,8743221,7696576
149.0598,8.38,5846025,5733637,5524291,7051376,6284613,6505131
596.0039,7.13,7221936,7475507,7525936,7482213,9282596,8731402
705.5293,1.77,9097574,10360397,10101351,1910325,1129499,1281468
267.9915,7.12,13129810,13605663,4818479,5721883,6656688,5638365
678.0071,7.13,6330391,6474547,6601030,6634663,8502584,7979382
264.1699,6.78,360058,3320708,3155416,1162951,3198298,1178139
129.0427,7.96,5218871,4970052,5127367,3466099,4106541,2157968
760.0101,7.13,5729480,5888017,5990110,5957796,7778060,7259458
842.0134,7.13,5415293,5653538,5671388,5809709,7609598,7122495
521.5898,1.59,6519115,5438345,4717174,4880654,4818166,4663561
