Mass (avg),RT (avg),[Area] QC1-NEG,[Area] QC2-NEG,[Area] QC3-NEG,[Area] QC4-NEG,[Area] QC5-NEG
72.0209,0.34,7328,9286,9164,7998,7887
79.9268,0.37,10521,9113,8897,21118,6796
81.9819,0.39,138169,79102,518607,556729,552459
81.982,0.39,348410,60790,518590,557879,48305
83.979,0.44,21099,16094,44797,50330,29022
83.979,0.39,180011,187288,202146,25517,209952
83.9793,0.37,179958,42801,30258,214408,40329
90.0316,0.5,2643305,2812321,2765337,2702011,2699023
90.0316,0.5,197439,2811956,2764911,2702131,2698975
90.0316,0.35,118330,114601,118308,407604,222972
90.0316,0.35,58039,277237,197385,69110,59628
92.0357,0.5,18517,12163,16151,17101,8705
93.0417,0.34,24019,24653,23588,26272,24759
97.9673,0.44,111099,111179,319670,349682,380488
101.9407,2.44,4865,11222,11247,18610,11310
102.0315,0.34,4101,5617,3696,4556,4585
103.9639,0.33,124635,134410,139943,146426,122677
104.0469,0.58,65723,134301,49568,55202,10249
104.0474,0.66,67517,134301,65451,54689,12889
105.961,0.33,40120,38402,41504,35692,37993
113.9929,0.31,208469,199755,236963,197632,212660
116.0282,0.35,3945,4509,3981,5447,4393
118.0267,0.54,45403,22124,39903,44205,40069
118.0267,0.52,4147,41407,9377,15869,4644
118.063,1.25,14359,4557,20483,20957,13922
118.0632,1.27,60009,62625,64893,68280,62780
120.0423,0.34,6682,8423,7886,9695,9339
124.0554,0.34,3861,4380,4549,4519,4152
126.0084,0.42,103637,74753,81558,104247,103988
126.0084,0.4,103637,28331,31679,103810,103988
126.0086,0.5,46023,48591,44861,57276,50291
128.0055,0.42,28334,36871,36898,23819,1549
128.0056,0.38,7613,10454,8470,9270,34831
129.0425,0.36,25897,57379,29636,27188,18777
129.0427,0.5,59689,56597,60658,60399,57504
130.063,1.37,199102,202985,207428,215857,219842
130.0631,1.36,21240,56875,72189,75330,98421
130.0631,1.37,45000,202903,206916,21771,17685
131.0947,0.55,9526,9412,9282,9820,9159
132.0787,1.38,21014,19788,20051,19568,19162
133.999,1.46,21441,19895,18848,19861,14755
134.0216,0.36,15269,14310,16264,17298,17462
135.9019,2.44,14758,14866,12801,9523,6548
135.9019,2.5,12631,28047,27035,18277,16300
135.9019,2.24,7433,14832,12544,7014,7882
135.9019,2.99,2842,43406,19231,46147,45432
135.902,2.44,8459,14866,12772,16555,6548
136.0374,0.36,16478,21011,18920,18702,21346
136.0388,0.49,4382,5100,7550,6772,9667
136.9782,2.44,12830,12154,7758,9677,6992
136.9783,2.5,20698,18983,14882,14447,13521
136.9785,2.23,14886,10957,9725,10698,8424
137.8988,2.99,,6708,10596,4321,2599
137.899,2.44,3629,4768,4232,3437,2524
137.899,2.23,3563,5834,5013,2670,2068
137.8993,2.5,4756,9201,9112,6462,5828
138.0319,1.48,57833,56607,51474,52266,51700
145.9307,2.5,4863,9854,13392,14460,12438
145.9307,2.24,9245,8676,7240,6836,18946
146.0946,1.39,6465,5805,5280,4801,13130
146.1058,0.33,2411,2908,2302,1693,1782
147.0533,0.37,24265,39995,15560,43155,36755
147.9456,0.23,3525,10582,10922,17353,937
147.9903,0.49,231545,99704,164702,208305,239330
147.9903,0.44,48936,250427,30750,70369,13200
147.9904,0.48,9600,45000,164709,45359,49274
149.9872,0.49,84794,81246,25378,89978,76545
149.9875,0.45,4717,10102,81794,14657,13602
152.0337,0.5,3347,4271,5220,3927,3520
153.0425,1.54,8227,5101,5870,4966,4949
154.0264,1.35,7731,10953,5771,8006,4515
155.0695,0.34,12437,11931,15874,14457,11889
155.0695,0.39,862,4537,3787,1680,2134
158.0191,0.52,43181,4070,21625,18925,8214
158.0192,0.49,15983,12034,61522,10670,55755
159.9858,0.29,14274,13406,13818,13635,13470
160.0739,1.32,11060,9383,9511,9871,8662
160.11,1.48,17395,7499,15373,15586,8227
161.9228,0.34,15480,14975,16682,12783,17841
162.053,0.34,11085,10137,8667,8748,9262
165.0189,0.5,5305,4250,6321,6477,7042
165.0788,0.81,86896,22174,22517,90113,14289
165.0788,0.8,38644,10922,4898,4426,4356
165.0789,0.79,12008,28062,27046,5074,9456
165.079,0.82,17074,94725,91685,24759,88448
166.0263,1.34,8049,14007,12076,8371,14231
166.0632,1.4,4870,4092,4187,4101,5068
167.0582,1.58,3875,3965,2827,3056,2205
168.028,0.41,49567,108962,34685,16939,56352
168.0282,0.36,12727,13358,18792,106738,12442
168.0283,0.36,109464,48730,110529,112735,123332
168.0284,0.5,126173,132062,130609,138956,121894
168.0284,0.49,17231,133125,10004,124849,6545
168.0732,0.34,2812,2987,3306,3232,3028
168.1149,1.66,68755,80451,84651,84409,80042
169.8943,3.5,20382,19553,17386,18660,6945
170.0222,0.5,50388,54297,42273,46270,46918
170.0223,0.37,46474,27231,45967,40755,48500
170.0224,0.36,45902,45049,45458,40608,48500
170.0224,0.41,24748,22701,18930,18288,19160
170.0224,0.44,3402,4031,7990,9833,5394
171.9515,0.33,15825,19248,16416,17517,20055
172.0735,1.4,15833,21424,20574,18141,18852
173.9481,0.32,5905,6191,5421,5537,5882
173.9985,1.26,12900,8536,7945,28638,12215
173.9987,1.29,69855,85345,90074,86126,91477
174.0891,1.37,15574,15072,15881,11663,15255
174.1253,1.52,17929,21227,23905,24142,22844
174.1257,1.57,3742,2750,2073,5361,6487
175.1065,0.83,1230,3794,16894,2838,15839
175.9638,3.44,1748,9885,23562,8689,8570
175.9853,0.53,6826,9077,9203,8789,7839
179.0582,1.34,35154,36775,37360,37699,37926
180.042,1.39,7176,5569,5881,6025,5647
180.0422,1.43,3154,1255,613,551,907
180.0632,0.34,118330,114601,118308,121116,112061
180.064,1.26,9933,5109,,,
181.9803,0.31,52795,53374,52946,49893,52135
182.058,1.28,10059,11194,11869,10568,11321
182.0787,0.34,3999,4439,4451,3715,4086
183.9958,1.52,99063,26818,40644,16010,68951
183.9959,1.47,220209,596857,558250,549568,536130
183.996,1.47,697254,618509,576708,571005,558506
186.1258,1.57,3769,6872,7502,5624,3705
186.1261,1.59,7539,3834,5635,5007,8221
187.0012,0.37,8167,6282,4066,8206,6866
187.0017,0.5,12040,8233,10111,7104,7428
188.0143,1.38,359745,384793,372504,383896,397610
188.0144,1.42,35465,36796,14476,43226,44004
188.0489,0.52,1489,1383,1285,2180,2256
188.0492,0.5,22921,21851,22897,21120,19463
188.0497,0.36,233830,237177,244917,247232,245470
188.1049,1.41,29860,28346,29412,28557,27751
188.1051,1.46,4535,4083,3829,4626,3113
188.1412,1.58,10457,10878,12452,12190,10887
188.1412,1.63,5664,4660,4346,5373,7479
188.8681,3.49,54533,23702,47893,53317,25835
188.8683,3.48,3291,48918,47899,53306,73235
188.8684,3.49,54535,49024,5969,53306,13679
188.8684,3.49,13108,33081,3111,5587,36341
188.9986,0.5,,3823,3467,3772,4158
189.9934,1.21,3594,19287,39923,34048,12513
189.9935,1.22,14116,50117,8827,34130,14993
190.0101,1.38,18722,17832,17039,15715,24449
190.0648,0.35,3394,3857,3934,4081,4208
190.1202,1.42,7042,7177,7221,6707,6741
190.8652,3.48,24243,29219,33769,34087,35424
191.9355,0.22,2224,27032,,1212,
192.0272,0.5,68289,62234,58471,47783,45350
192.0274,0.36,30302,30978,32619,32199,27212
192.063,0.36,3683,3274,3825,3559,3441
192.1151,1.47,3566,4774,4560,4742,4650
193.936,3.39,13846,22728,15097,18009,18320
194.1073,1.5,12009,13155,15032,16989,14342
195.0522,1.39,5274,4702,5249,4005,4585
195.0895,1.68,43482,35232,33241,28468,25519
196.0595,1.24,3940,3734,3566,4120,3842
200.0142,1.44,7040,8675,9840,10389,7689
200.0449,0.39,4740,25197,1525,9061,7873
200.0453,0.36,23701,9655,24894,27108,31764
200.0776,0.31,2411,2433,2072,2421,2499
202.0451,0.46,7955,1369,2466,11270,18231
202.0452,0.5,74333,74620,70604,61232,63902
202.1209,1.45,9536,6776,12211,9878,10855
202.157,1.64,7128,8894,10644,10155,10169
203.1156,1.37,2133,2542,2380,2431,2358
204.0012,1.53,15339,13681,2266,13614,16103
204.009,1.36,12968,19525,17886,17277,11899
204.0442,0.36,7583,7792,7178,7585,7148
204.0898,1.27,104879,105471,106075,105206,101580
204.0899,1.21,27272,10136,11275,15690,23087
204.0902,1.31,5819,4605,7713,6308,4439
205.0117,0.36,8711,9970,9807,7751,9447
205.074,1.41,5728,5684,5825,7201,5430
205.9487,0.45,55275,24035,59848,35211,58933
205.949,0.38,8229,59107,7082,14962,5994
207.946,0.42,38245,14389,38212,40713,41838
207.9796,0.3,4276,12433,8930,2585,7393
207.9799,0.2,2520,3568,7763,12706,9573
208.0733,1.4,3465,2555,3429,3396,6056
208.1463,1.65,8186,6986,7310,4234,4600
209.981,0.45,43106,37800,36759,43460,45509
209.981,0.48,42972,37691,14988,7382,11265
210.0738,0.34,5292,5087,4263,4487,3792
213.0093,1.32,53605,60569,57697,65789,65635
213.8467,0.4,4979,6185,10267,9388,8091
213.9185,2.51,3321,7439,9786,3937,5197
213.9186,2.93,,3981,3292,2694,3298
214.057,0.33,1951,2326,2335,1752,2509
214.093,0.32,4627,4829,4176,3721,4882
214.1202,1.47,6338,6013,7262,3147,5689
214.1569,1.64,5830,4891,3810,4424,4338
214.8966,0.49,139332,123114,122929,131715,129290
215.8872,3.5,99130,93941,121236,131615,100858
215.9776,0.52,15065,17703,15328,12735,7266
216.0404,0.35,448575,479166,452477,484955,456466
216.1002,1.36,1036,9191,7885,8351,
216.1363,1.49,8361,11146,10058,9359,9732
216.1725,1.7,6521,9439,9877,9702,10462
216.8758,0.72,66927,62926,64104,1261,62310
216.8934,0.39,6072,7592,6125,6558,4387
216.8935,0.6,57774,61832,60116,17942,68103
216.8939,0.46,6275,7396,24330,11153,10041
217.1209,1.27,55673,59363,56606,59626,59699
218.0369,0.4,29084,53518,10982,30914,23394
218.0372,0.35,146459,150394,154574,157843,151174
218.8951,0.48,13347,11975,32810,7579,22222
219.8811,0.36,4713,3687,5599,4032,3320
219.8812,0.34,18696,18344,20316,20785,18798
221.8782,0.34,16870,15563,19214,17896,18352
221.9484,1.76,3727,2927,2558,1788,2321
222.0601,0.35,160597,138272,170853,161294,141752
222.0603,0.41,36995,29407,6067,24322,19926
222.0891,1.58,6642,6064,8237,8042,6426
222.1619,1.8,2661,2928,2276,2705,3019
223.1178,1.03,42112,40525,46009,43573,46890
224.0572,0.35,61674,59633,47899,61138,60436
224.1051,1.51,2455,3342,2710,2626,3320
225.0692,1.37,24695,25278,24512,13072,22205
225.9869,0.37,12401,19122,28455,27635,28859
225.9873,0.5,19530,14381,13290,12053,22458
226.0689,0.34,47848,47791,50215,52071,48392
228.0843,0.34,2099,2339,2560,2359,2688
228.9114,0.65,26262,11836,7206,8122,26354
228.9117,0.63,8711,28631,5745,26471,8490
228.9117,0.62,5875,27685,6325,5340,3641
229.1681,1.46,2515,2305,3270,2623,2915
229.9099,0.33,17841,19139,19764,17599,18653
229.9781,0.5,2335,7334,4871,2994,7585
230.0009,1.44,28701,38253,40113,74784,47015
230.0011,1.47,271579,251405,235427,233704,28200
230.0617,1.61,5461,5184,4719,5015,5533
230.1514,1.53,4992,8705,9296,10009,9157
230.188,1.75,12205,10026,8189,11580,11383
231.9073,0.33,12568,13090,11611,11451,12658
231.9628,3.44,20348,4474,4981,3761,2685
232.0139,1.51,20853,26787,15713,15281,22849
232.0888,0.34,16091,15937,17225,16723,18118
233.066,0.81,5666,5808,19109,14556,25757
233.0662,0.7,4866,4859,2418,7502,3787
233.0662,0.7,6592,10371,2418,3538,4073
233.9033,0.33,2782,2084,2618,2463,2825
234.0546,0.36,6667,5950,7412,7953,8428
234.1626,1.82,5109,4380,4318,4052,4295
236.1051,1.48,9031,11310,10617,8913,11367
239.0798,1.85,2794,2523,2882,2988,2751
239.9392,0.32,26431,25763,26817,24895,26380
240.0022,1.54,25791,32268,18839,24049,23444
240.0022,1.53,6947,3659,10744,8405,4809
240.0995,1.53,37057,36225,40565,42710,43565
