Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
60.0322,0.36,260574,418672,402341,377635,429598
63.0083,0.4,643112,406616,390163,378702,439521
63.0083,0.31,229040,47786,353973,118523,167624
68.0623,1.58,12236,9451,8942,13278,7858
69.0575,0.37,26320,25805,29052,23571,17620
71.0734,0.37,94383,82649,191541,78407,56088
71.0736,0.48,87451,81247,188516,88123,148080
72.0575,1.51,21197,16020,13297,19032,16931
73.0252,0.3,7473,11348,12622,12686,14888
73.0527,0.44,96551,314334,193933,358794,343541
82.0139,0.46,62939,49479,48786,46501,55276
83.0368,0.48,8901,10071,10880,11325,10822
85.089,0.54,612804,644245,671758,692871,712643
86.073,1.43,13800,9752,9009,12366,10817
87.0683,0.84,39729,52817,36744,49331,37874
88.0009,0.29,43041,46013,50939,52641,53239
89.0475,0.35,162935,167304,176364,182872,181428
89.9693,0.4,64194,60456,61557,55951,57112
89.9694,0.31,319131,324625,335792,340179,344874
90.0469,1.84,57109,52381,42794,36944,28381
91.1028,0.55,420861,447904,493871,497598,512806
99.0684,0.83,149964,138904,119849,130073,120702
100.052,1.46,98280,73195,73794,64871,67695
100.0526,1.53,38949,47612,38400,50483,34163
100.0529,1.38,18614,15333,14715,19743,16466
101.0841,1.29,34549,33897,40465,43273,39072
101.0842,0.97,87988,122412,111320,111560,110838
103.0997,3.35,38032,22500,12604,3189,6003
103.0998,0.34,1337559,1339889,1314445,1300737,1285712
104.0258,1.83,16830,15123,12402,10584,8899
105.1065,0.34,828837,817022,812596,756612,796446
107.0737,0.36,10532,10051,9115,11551,10833
110.1094,1.36,28201,23845,26775,26431,24939
112.0137,0.4,254506,253319,166081,256155,149804
113.0589,0.4,193346,165450,233210,71530,205723
113.0843,1.3,97573,88655,79981,78773,86845
114.068,1.53,15057,21492,10921,18993,8545
114.0682,1.42,36912,31213,19380,24548,13738
114.0683,1.34,70047,64459,51395,54098,39952
117.0789,0.36,268376,245243,303841,179518,190686
117.079,0.48,200052,393381,425693,440973,216320
119.0735,0.8,296257,335739,358467,377235,398686
121.0893,0.64,256563,258590,257404,261739,262989
121.0893,0.36,64112,73330,73821,74619,76482
123.0275,1.33,3830,4200,5420,5723,7980
123.0927,0.48,96185,148044,107337,94712,90610
124.9794,0.3,9410,9806,10781,11251,11272
125.1205,0.36,4156,4781,4113,3927,4492
126.079,0.97,31451,28342,28768,33357,31956
129.0426,0.48,104498,112566,117574,121886,119851
129.0427,0.36,13774,17590,15849,14368,18411
129.079,0.48,13020,13290,14887,13693,16058
129.0792,0.36,33947,32972,33159,32265,30557
129.1521,1.3,35444,42307,39809,36515,45139
130.0419,0.8,18422,21751,22325,24124,26278
131.0938,0.37,65940,63260,57183,61062,43918
131.095,0.55,3200049,3486085,3599093,3699833,3795957
132.0787,1,207379,217039,209238,227025,200587
132.0896,0.3,10971,11586,12241,15761,13951
133.0993,0.54,18805,22069,22918,23579,26551
133.9965,0.4,207203,205590,213677,206348,201606
134.0943,1.19,712950,660689,536059,564238,595750
134.0945,1.04,317272,307418,279041,319367,315240
135.0563,0.48,29647,33912,28919,33034,33071
135.0977,1.19,38736,49916,28266,35100,41140
136.0386,0.48,231475,257999,292578,277458,284974
136.0386,0.37,9481,36209,35846,37345,243102
136.1247,0.72,17557,19970,24369,23457,26143
137.0835,0.36,7185,7827,7700,6989,7084
137.0837,1.31,16383,14388,13442,13209,16901
137.084,0.71,61950,70929,61738,69582,70780
138.0605,0.34,61173,57569,41081,73688,32629
138.1119,0.55,2423825,2566903,2704353,2740019,2795939
138.1121,0.37,39699,45713,33105,34922,45865
139.0608,0.34,18433,15649,19896,17397,16198
139.0609,3.36,45925,51945,41818,32758,23587
139.0611,2.42,9465,8744,6967,2246,
139.0612,2.48,14254,14221,11207,2246,
139.1107,0.34,4833,4705,3353,13416,15561
139.1109,0.31,15267,13796,14485,13640,14868
139.1357,1.23,8389,9012,9854,9886,9425
140.1162,0.54,12228,12665,14134,14219,14702
141.1518,1.25,11040,12305,13938,12935,13617
143.0942,0.36,240868,265794,274107,265463,252818
143.0948,1.32,16168,12532,11644,11218,10077
144.0786,1.43,6349,3210,5509,2016,5228
145.1112,0.39,27237,27944,37736,44250,35994
146.1052,0.3,27679,26729,26284,22773,28466
147.0533,0.35,106274,109943,130217,121925,132864
147.9284,0.33,18440,17211,18289,16554,17336
148.016,1.84,89142,78511,45677,55694,32072
148.0162,1.88,28907,25019,20306,18122,10108
148.0526,1.72,16719,17095,14712,12697,10432
148.0527,0.78,16220,18454,21941,21459,21823
148.1104,1.35,85813,57083,44760,73068,61096
149.0511,0.48,65663,66550,76207,80886,79360
149.0597,0.36,60401,38811,65576,68960,27182
149.1047,0.99,136406,124690,121913,112383,102921
150.0275,0.3,29672,33757,34670,33236,34933
150.0891,0.61,111052,113524,114014,118434,114921
151.0634,1.11,47956,47752,41432,42485,34490
151.1211,1.05,486489,435184,403736,395961,373611
151.1211,1.19,887091,797592,729397,716821,671873
152.0251,0.3,3924,4820,5957,5923,4777
153.1155,1.31,32041,38384,38801,40121,39750
154.1098,0.3,17430,19331,20310,20238,18719
155.0349,0.34,14256,13550,13300,11642,10354
155.065,0.48,72659,84065,70039,83659,87254
155.0697,0.31,19291,19973,17212,18794,18422
155.1309,0.37,200427,202319,236418,233964,203188
155.1313,0.52,720214,766269,779631,776194,563548
156.0762,1.04,115725,119883,132226,134609,141072
157.1467,1.63,157927,133180,149050,133179,122424
157.1468,1.3,47219,44605,49000,52490,49263
157.1833,1.39,7200,6189,4755,4572,4994
157.9565,0.32,106984,93994,121027,86793,96558
158.1318,1.59,17373,20252,49178,25324,22428
159.1262,1.31,4536,8374,7213,9740,5249
159.1263,0.36,46726,46097,45342,51924,47904
160.0849,1.35,5739,6211,7935,10241,9086
160.1099,1.45,20723,17512,6427,7820,8834
160.1579,0.31,16873,11360,24102,7952,4519
161.1053,0.35,870959,778545,845323,769517,825637
162.0683,1.58,45638,37481,36629,35461,36051
162.0683,1.83,318821,267205,247083,205409,154533
162.0683,1.92,17385,15607,16945,5125,2106
162.0891,1.35,52981,54884,46231,54300,43029
162.1259,1.43,96652,77117,76724,68056,66580
162.1266,1.53,99706,9876,36745,31356,71010
163.1361,1.34,9502,8554,9234,9622,7823
164.0472,0.49,15163,15655,16023,19212,18673
165.079,0.8,1903411,2092431,2214737,2313535,2399128
165.1364,1.35,19174,17347,19303,15843,18396
167.1162,0.61,28303,25543,22167,19623,17234
168.0286,0.48,39797,49466,49668,46599,58589
168.0872,0.31,37658,33996,29700,34903,35751
169.0349,0.4,47207,45164,35074,47320,47823
169.0854,0.31,11444,2736,4355,2416,12490
170.0222,0.48,18547,24538,28479,24564,30833
170.1417,0.48,63416,53545,58002,53281,60387
171.0873,0.34,5144,4249,4523,4633,4419
171.1258,1.27,79374,83153,93164,92771,96025
171.1987,1.4,11431,7152,9851,9058,6851
172.0502,1.04,22110,22088,20260,22498,7575
172.1097,1.47,12376,29899,12549,26218,30406
172.1101,1.3,51422,35566,41670,39845,45425
173.1415,0.5,51347,37218,36817,40758,38006
173.1415,0.37,18998,13994,17569,21469,18118
173.9305,0.32,8535,9713,9638,8829,9376
174.008,2.67,4129,3341,3204,1888,2755
174.1118,0.31,31536,29932,41391,46195,42741
174.1257,1.33,59731,60671,52050,45646,48242
174.1257,1.41,55184,41270,37061,30818,35700
175.0593,0.54,14602,13783,10733,12040,11834
175.1063,0.79,335575,365255,408150,416350,436864
176.0474,1.66,5938,5617,4155,3810,4348
176.1051,1.38,22901,22215,20761,23153,24389
176.1418,1.5,109887,93051,88288,73843,87254
177.0512,0.31,14809,18061,17451,15816,12065
177.1267,1.26,213715,221187,211149,213786,211650
178.1206,1.29,31611,24045,26819,23756,25715
179.116,1.35,26203,19294,19414,16603,17119
179.1533,1.43,41745,28644,29967,25854,28012
180.0646,1.26,42612,34188,40465,40479,37829
180.0649,1.03,55449,49085,54480,51753,49151
