Mass (avg),RT (avg),[Area] QC1-NEG,[Area] QC2-NEG,[Area] QC3-NEG,[Area] QC4-NEG,[Area] QC5-NEG
72.021,1.59,84171,65435,66960,79161,81594
90.0316,0.47,1146984,1170701,1006675,1060256,1100364
90.0316,0.97,3385629,1053198,1945773,2143841,3651061
90.0316,1.04,3376103,555735,1501456,3829789,3663996
90.0317,1.58,349456,228639,178503,163280,371373
97.9674,2.88,507075,506588,484845,482290,474303
105.0425,2.25,103041,216072,222900,97109,213573
109.0497,2.25,61689,66582,64657,33281,69678
109.0497,2.14,24846,34771,19220,22712,37630
113.9445,2.84,59620,59780,53998,57389,55438
113.9929,1.45,49803,41542,35063,443319,168977
114.0316,1.59,98433,97608,97210,102239,112165
114.0316,1.88,15186,49467,53088,55084,21333
118.0265,1.22,199826,43736,56785,50367,24334
125.0146,1.58,47883,39274,22932,24287,35668
126.0084,0.47,32537,27978,54023,33687,34385
129.0426,1.9,26643,24872,25892,26463,26622
129.0426,1.43,78883,87506,91730,36402,112403
129.0427,1.57,71623,71507,67021,51738,69495
129.0427,1.23,135908,142109,144274,37586,81843
130.063,0.42,197239,188222,30054,100950,194625
131.0947,1.5,386154,386673,401234,388624,394072
132.0535,2.16,17252,25286,27897,21825,27047
132.0536,2.28,77243,32247,45917,82439,79684
132.0898,2.32,13301,10482,15627,4509,13587
132.0899,2.71,81751,95315,76879,90675,89753
134.0216,1.4,54614,56802,65740,65352,56429
134.0216,1.23,27350,52475,51998,42736,57505
134.0217,2.49,7211,27944,18096,26445,48752
135.9019,1.23,390029,572913,595767,592879,576992
136.037,1.45,11955,13287,11681,11699,11913
136.0372,2.07,28210,75421,73095,56143,40328
136.0386,0.93,22496,321415,333398,346940,287347
137.8991,1.23,182494,96909,194349,51102,212013
138.0313,0.49,58487,40195,76042,69188,67209
138.061,2.27,139038,151847,144945,40472,133971
142.0245,1.75,20418636,21932821,21047108,7564013,11258914
146.0692,2.22,413277,348053,427685,437954,281721
146.1056,2.69,154715,164878,168184,166822,162631
147.0532,2.49,351310,372978,364576,370392,329910
152.0334,1.08,291715,291384,289151,285781,294066
154.0081,1.37,10610,29851,23430,25714,12052
154.0274,1.03,154220,212921,154142,213816,206331
154.1195,2.69,116976,116427,120201,117420,123425
155.0695,2.37,167769,178095,182908,182425,198490
155.0695,2.68,48536,64312,55191,64698,74524
157.9982,1.52,1668732,1141384,1688303,1679776,1356963
159.9963,1.52,135595,123879,128036,126362,121492
165.079,1.5,207342,185963,201892,209776,203397
168.0283,1.61,107061,108129,106183,101036,102233
168.0283,2.03,64497,70452,66531,63229,61200
170.0225,2.03,27631,26315,28140,25245,26302
170.0226,1.61,46815,49402,40423,50868,43238
171.0506,2.03,42560,45684,90316,54167,52402
172.0152,0.87,334704,307821,334439,322637,330617
172.0348,1.62,12068,28494,29182,20235,71786
173.9984,0.47,136317,153457,144820,150039,130437
174.0163,1.33,74124,68227,56151,80916,78667
174.1115,2.64,70910,77931,74009,70668,73010
174.1256,0.41,27371,29463,26938,27292,29771
175.0529,1.16,62934,64425,82261,57307,60431
175.9444,2.89,9622,9525,10699,10438,12214
176.0993,2.32,33694,38522,35352,24323,34630
182.0438,1.22,39578,36660,34948,37421,21327
182.079,1.59,57186,53020,61542,70745,49475
188.0144,0.47,632184,664780,654134,658729,579541
