Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
60.0322,0.69,105774,105049,118201,109776,93271
69.0577,2.69,39442,42790,38395,40135,39151
74.0481,1.37,64453,52545,55502,56890,62937
75.0318,2.14,128097,122276,121697,130598,118728
75.0683,1.85,97706,85931,76369,76357,83209
78.9824,1.69,268309,265456,268084,276668,267711
83.037,2.21,30052,37128,29748,34119,31183
83.0734,2.68,42881,52639,57221,51198,58302
84.0405,2.48,22966,22174,22872,25305,23802
85.0891,1.5,263905,267519,260326,256609,255965
89.0476,2.03,361787,360471,357992,357834,358737
90.0467,0.36,10898,10073,11563,12794,11613
91.0388,2.57,6614,11934,6449,5108,1416
99.1047,1.12,36298,31872,35394,31874,34587
100.0527,0.37,13967,16619,16293,18078,17961
101.0475,2.08,14762,13657,14549,9841,14339
102.0509,2.48,16630,15730,14935,17342,15365
103.0997,1.86,32186,32765,31106,26438,29170
103.0998,1.29,7739617,7627874,7761706,7834487,7573379
103.985,1.83,1839492,477068,454396,2324271,1888850
104.0351,1.73,39491,35746,8131,20873,24637
105.043,2.23,143027,194265,136301,185696,184305
105.1064,1.29,4816778,4740254,4701947,4791042,4772410
105.1066,1.7,16632,11007,9907,10985,8631
109.064,2.48,66955,33895,71140,42035,57268
112.1001,1.98,81388,63354,50642,50901,46330
113.0246,1.68,24418,25445,24902,21497,24177
113.0589,0.97,1007366,1012103,946414,946881,930434
113.0589,0.9,457492,484839,408214,443666,467122
113.0589,0.97,1007465,958180,944565,946990,538850
113.0591,1.34,18512,8582,17937,12931,11606
115.0633,2.69,101045,104989,90959,96354,99953
115.0633,1.65,77974,74725,80298,77453,86587
115.0634,1.71,45232,42490,37916,39287,35171
116.0776,0.98,1109843,1652542,1675549,1722282,1611468
116.0777,0.98,1797481,1652650,1701497,1696657,1611666
116.0777,0.9,367452,863427,843712,397692,649341
116.0837,0.39,92187,104613,91161,95415,95993
116.1058,1.13,163650,159720,162778,163477,158125
116.1063,1.44,351464,333193,326485,333259,331630
117.0791,1.54,2625909,1986429,2190531,2454115,2314566
118.9958,2.13,29543,35844,35818,38100,39093
119.0583,2.08,187921,201191,176513,198697,201004
119.0734,1.49,109588,107509,106325,101282,101719
119.9588,1.71,47161,44633,40313,53435,40733
119.9588,1.59,51923,67357,65788,73471,71857
121.0772,1.66,43586,44620,48050,39143,45219
123.0171,2.91,307188,375472,123292,130125,266903
124.019,2.85,94015,109501,99071,95968,94208
125.0144,1.84,26074,33595,17432,16595,42167
125.0147,1.66,37692,37820,32680,38394,36852
128.0586,2.11,27905,29361,31141,29593,27942
128.0951,2.5,67337,82595,75431,75208,74260
129.0428,2.48,44699,39720,40548,40177,39859
129.043,2.21,89815,107867,100069,102621,93574
129.079,1.45,34668,140274,136006,55274,69911
129.0792,2.68,62255,68191,71557,65771,65563
129.0794,1.37,117975,144857,130438,63582,55370
131.0492,2.48,22394,21635,22811,23384,22810
131.0697,2.05,268073,285989,271253,289629,284580
131.0947,1.51,1515842,1503441,1511850,1519381,1508314
132.0545,2.26,61179,109982,51102,111359,60506
132.0902,2.7,485742,511304,516970,511440,527363
