Mass,RT,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3,SXT-col-7d+13c6-phe-1,SXT-col-7d+13c6-phe-2,SXT-col-7d+13c6-phe-3,SXT-col-2d+13c6-phe-1,SXT-col-2d+13c6-phe-2,SXT-col-2d+13c6-phe-3
446.2279,13.07,43371465.94,78691063.8,61205925.62,109948790.9,131703932.7,121395989.3,34489691.64,27859177.66,39375654.62
892.4585,12.98,1,80149102.62,1,111798697.2,132471594.9,122726260.1,1,1,1
446.2461,13.32,1,1,1,1,1,1,1,137458710.6,1
892.4867,12.99,43471547.24,80156449.37,62609076.77,111800514,1,1,1,1,1
477.1159,6.36,65726230.15,63382513.15,64632494.45,93611920.59,101616370.6,97906942.64,77013568,78472241.29,82964935.62
478.071,4.44,46841617.49,52638488.29,49457067.92,64794661.06,74283260.18,69971869.04,53986534.65,56184520.26,58010150.27
446.2432,13.39,1,1,1,1,24829810.41,1,1,1,1
422.2143,13.67,1,1,2244.184329,52618844,60435768.32,55989547.05,1,1,1
896.5172,14.28,1,1,1,95850831.38,121387044.1,109697656.4,1,1,1
432.2281,12.67,71526214.79,50569227.85,61736845.6,18000115.14,9480238.975,13101931.58,21749199.61,23271468.92,21876785.4
493.111,3.1,23950914.97,19423478.49,21920821.82,62698700.06,71045550.57,66561944.01,22397609.02,27659037.01,21041837.24
448.2592,14.88,2394158.543,1,1,1,2108105.9,878206.3989,188531020.8,163963145.8,202796482
434.2437,13.73,50793817.54,37861022.75,44918098.4,13100705.69,7689065.542,11451903.67,17492156.56,1,16866998.57
896.5174,14.46,1,78559611.64,57536254.55,95920865.78,1,1,1,1,1
438.2403,12.19,24520.91639,22626.63707,20635.42355,42507214.49,1,50780244.2,4828.854895,1222.44167,8311.530528
447.2469,13.2,53750286.15,1,63516346.41,1,1,1,51396491.07,47675067.62,55433607.09
423.2461,13.66,1,2387.497744,1,59996032.02,68104245.82,62861730.35,1,1,1
844.4859,13.7,1,7315.251253,1,33790083.95,49898624.22,44297570.38,1,1,1
892.4864,13.15,43213433.07,79301502.2,61926258.8,1,1,1,34136334.29,27745973.84,39274490.33
837.5936,5.55,40067857.8,39070565.31,39157626.46,28976419.56,16102269.94,22808523.56,17043443.32,16091039.94,17553606.68
724.5097,5.28,40225071.35,38667924.95,39240160.45,30220841.94,17120410.44,24164345.9,17920624.76,16439505.57,18741203.7
896.518,14.57,40255145.77,1,57999655.13,1,1,1,1,1,1
388.1378,2.94,25574398.38,26228987.06,25926254.74,27446402.17,28015100.8,28131895.38,10803627.57,15517611.18,21228674.55
477.2857,12.3,23268424.62,16479390.05,19599382.78,960836.836,947932.8659,906576.1997,9243305.985,10556338.25,9095350.664
448.2594,14.99,1,1,1,1,482330.3452,1,1,1,1
475.2701,11.58,28251646.1,16481648.12,23274512.44,1384333.761,1363074.498,1390031.766,9302851.098,11023075.47,9579795.017
278.2245,12.99,1,27812885.56,1,36929485.67,1,40553386.4,1,1,1
478.0716,3.73,12194528.89,14930279.66,13681258.23,19953035.42,22349165.91,21400877.94,14759222.27,19487083.09,24398445.11
254.2246,13.66,1,1,1,24876618.19,28649225.65,17183252.67,1,1,1
340.2404,15.3,15306821.65,16058185.37,15874450.41,11126841.94,22931950.3,18021229.16,8280265.663,5572061.943,6553322.175
434.2434,13.81,1,1,1,1,1,1,17491894.23,14885302.71,16896552.66
610.154,3.96,30037955.2,27607977.15,29711145.96,14815616.73,16414198.96,15259897.83,20046937.15,18361924.03,20026722.62
896.523,14.62,40262369.77,1,1,1,1,1,1,1,1
464.1527,5.07,7115907.79,9104184.86,8209613.514,19814298.49,21774642.2,20649899.12,9712028.773,11891175.84,11331763.88
422.2437,14.07,7595888.535,12364700.66,10176935.08,1,1,1,1,1,1
278.2248,13.03,18078218.22,27812885.56,22091020,1,1,1,1,1,1
332.1208,3.35,1,1,1,626239.2278,352849.6607,486651.0225,24822166.92,25884331.89,20267475.16
463.1001,5.49,9505256.814,9272833.965,9481908.52,20934627.69,24301678.8,22748232.38,13959581.2,14532097.53,15257232.4
950.6773,5.77,23815818.06,22955748.44,23235349.29,15345356.84,8741387.808,11964422.18,8365997.72,8146471.48,8655101.085
171.0994,2.04,27262.70711,21118.30471,14435.43562,469764.4554,560041.2337,517406.9488,25887355.36,20151796.14,16844817.11
