Sample,3-hydroxyisobutyrate,3-hydroxyisovalerate,acetoacetate,adipate,alanine,AMP,arginine,asparatate,cholesterol,choline,glutamate,glutamine,GSSG,inosine,isoleucine,leucine,lysine,malate,methionine,N-acetylglutamate,OAG,PE,pyruvate,trimethylamine,tyrosine,w-3 fatty acids,methylguanidine,3-hydroxybutyrate,asparagine,Group
CK1,0.443936,0.225906,0.0898992,0.0722385,0.340481,0.307277,0.167407,0.0701616,0.441697,0.0684027,0.210082,0.222981,0.201014,0.222825,0.113029,0.283133,0.0883679,0.0513103,0.0550514,0.0985981,0.290494,1.24231,0.257841,0.000777149,0.0171674,0.218682,0.151639,0.4596,-0.0044441,CK
CK2,0.318956,0.226333,0.0962081,0.0819032,0.466305,0.394341,0.219674,0.0694984,0.547928,0.0393664,0.298642,0.248409,0.265891,0.165445,0.130989,0.395945,0.110346,0.0479091,0.0355829,0.101829,0.375114,0.967543,0.358466,-0.00498773,0.0211507,0.274542,0.19834,0.573616,0.00406365,CK
CK3,0.337356,0.15762,0.0439257,0.0344885,0.451413,0.393045,0.128891,0.0688509,0.65284,0.133104,0.320431,0.258053,0.168797,0.182466,0.13267,0.386082,0.132936,0.0185573,0.0323189,0.0676559,0.364618,1.0976,0.26899,0.00455521,0.0182566,0.270919,0.217391,0.743882,-0.00335802,CK
CK4,0.470084,0.22105,0.0963428,0.095832,0.472316,0.382602,0.208047,0.0731447,0.531895,-0.0358762,0.259594,0.215931,0.272943,0.200826,0.112105,0.302188,0.0744855,0.0278092,0.0252446,0.0840228,0.317779,0.995846,0.310789,-0.00324475,0.00419862,0.228547,0.183949,0.498693,-0.0162988,CK
CK5,0.382799,0.204606,0.0577688,0.0731695,0.489849,0.403444,0.176,0.0683254,0.593406,0.0383927,0.296917,0.210509,0.211988,0.201182,0.091471,0.320061,0.0724724,0.0203956,0.0297383,0.0706796,0.310213,1.37414,0.288858,0.00249637,-0.0130504,0.222672,0.185988,0.600766,-0.0154185,CK
CK6,0.468566,0.220399,0.0726213,0.0912088,0.459598,0.242318,0.179389,0.0649776,0.446239,0.0237375,0.316419,0.2342,0.230331,0.169117,0.116308,0.322493,0.106596,0.0241858,0.0239595,0.0794019,0.328416,1.08919,0.319239,-0.00539706,-0.00402425,0.175577,0.155228,0.429692,-0.0154752,CK
B1,0.351228,0.263736,0.106601,0.113126,0.555295,0.167633,0.234603,0.110162,0.330606,0.0927991,0.371929,0.29098,0.283693,0.170095,0.145237,0.390861,0.164548,0.0656152,0.0677651,0.129285,0.404695,1.03724,0.346003,0.0294605,0.0539783,0.133606,0.112279,0.317264,0.0337222,BOS
B2,0.238308,0.358874,0.128356,0.14852,0.566269,0.234557,0.302418,0.132947,0.429938,0.25988,0.396599,0.310406,0.321472,0.170583,0.155443,0.408515,0.157792,0.0808742,0.0827395,0.140298,0.384868,0.755461,0.450296,0.0408511,0.0599856,0.193719,0.139907,0.423759,0.0605824,BOS
B3,0.284979,0.297033,0.152972,0.154749,0.613516,0.141332,0.302953,0.117354,0.309723,0.178619,0.354091,0.306654,0.344795,0.122371,0.176842,0.413312,0.183499,0.0918234,0.0858766,0.163714,0.423605,0.845944,0.394583,0.0398502,0.0682361,0.15932,0.111489,0.336086,0.0530392,BOS
B4,0.22318,0.343029,0.15846,0.146072,0.586101,0.235367,0.335431,0.124518,0.38903,0.206887,0.368949,0.287343,0.332065,0.155674,0.182813,0.43614,0.218179,0.112282,0.0886252,0.16484,0.392356,0.656622,0.464203,0.0416813,0.102888,0.183596,0.150111,0.394308,0.0581405,BOS
