Sample,bile acids,lipid,leucine,isoleucine,valine,lactate,lysine,alanine,n-butyrate,acetate,NAA,glutamate,OAG,3-hydroxybutyrate,pyruvate,glutamine,PUFA,creatine,taurine,triglycerides,beta-glucose,alpha-glucose,glycogen,UDPG,urea,uracil,cytidine,urocanate,fumarate,tyrosine,tryptophan,phenylalanine,nicotinamide,hippurate,trigonelline,hypoxanthine,adenosine,formate,Group
CK-1,0.0203919,0.156443,0.369416,0.148189,0.246129,1.55286,0.108051,0.308474,0.147844,0.290194,0.12873,0.264941,0.200965,0.0774738,0.115389,0.0690102,0.0593133,0.157434,0.382467,0.423601,0.162588,0.176138,0.0336374,0.00323602,0.0196267,0.0149844,0.0073846,0.00402541,0.00116088,0.0520798,0.0138009,0.0724407,0.00233421,0.00781916,0.00872523,0.0161111,0.00308174,0.011329,CK
CK-2,0.0245657,0.30155,0.419909,0.173175,0.327021,1.52171,0.149949,0.390061,0.281443,0.465039,0.153535,0.342595,0.262886,0.103294,0.155956,0.0865369,0.0808444,0.190183,0.370831,0.210682,0.139746,0.193508,0.0103094,0.00335221,0.0254554,0.0219123,0.00612725,0.00245842,0.00311456,0.0627688,0.0163653,0.0869184,0.002802,0.00831785,0.0135282,0.0369409,0.00551351,0.017691,CK
CK-3,0.0209334,0.184774,0.276709,0.106773,0.187262,2.36087,0.11883,0.270865,0.1929,0.303271,0.124659,0.238873,0.19452,0.0787213,0.109208,0.0613532,0.0549398,0.137425,0.335158,0.283257,0.0624241,0.104629,0.0130059,0.00121039,0.0169558,0.0147546,0.00203585,0.000174304,0.000782786,0.0414565,0.0125004,0.0655542,0.00383004,0.00751454,0.012549,0.0242699,0.00465622,0.010604,CK
CK-4,0.019085,0.173319,0.297292,0.118818,0.18984,2.00005,0.125213,0.291858,0.18545,0.284991,0.135926,0.269103,0.209961,0.0808792,0.119832,0.0684307,0.061943,0.142973,0.358963,0.277138,0.0938827,0.131047,0.0138612,0.00207737,0.0173206,0.0171947,0.00197648,0.00211122,0.00231277,0.0507246,0.013068,0.0676816,0.00424318,0.00798841,0.0127715,0.0271952,0.00585748,0.00692778,CK
CK-5,0.0275881,0.288903,0.356383,0.135982,0.283217,3.0123,0.1284,0.351199,0.26909,0.462684,0.12423,0.274761,0.238672,0.0806654,0.131785,0.0684996,0.0630284,0.157589,0.320329,0.201329,0.0827281,0.137611,0.0139194,0.00649232,0.0236884,0.0240007,0.00707672,0.0043204,0.00278695,0.0570205,0.0177371,0.0864609,0.00511297,0.00827197,0.0159767,0.0372048,0.00549775,0.00960718,CK
CK-6,0.030646,0.280217,0.540908,0.210906,0.386647,1.41919,0.155392,0.4568,0.263336,0.498242,0.153846,0.358598,0.289078,0.104808,0.158795,0.0881058,0.0848762,0.203619,0.446193,0.198773,0.148939,0.243721,0.0142441,0.00708816,0.0364072,0.0359696,0.00773088,0.0101188,0.00436874,0.0655989,0.019345,0.104164,0.00145581,0.0103192,0.0115985,0.0375528,0.00220065,0.00238283,CK
L-1,0.0230053,0.298723,1.0127,0.428131,0.513124,0.708841,0.201001,0.714063,0.282102,0.399813,0.203063,0.386584,0.437247,0.152853,0.271834,0.11036,0.134312,0.311265,0.49094,0.151062,0.260995,0.256634,0.00605518,0.00582238,0.0285548,0.0301731,0.0182762,0.00883896,0.00282556,0.110826,0.0251558,0.181755,0.00185305,0.00995854,0.00794425,0.0273522,0.00215214,0.00339604,L
L-2,0.0221994,0.539714,0.961944,0.421691,0.558388,0.609407,0.192009,0.744378,0.449424,0.829674,0.180394,0.380461,0.460258,0.133173,0.246019,0.0941482,0.130693,0.3254,0.431801,0.14406,0.194873,0.230034,0.00637816,0.00503281,0.0305036,0.0290686,0.0245906,0.00682923,0.00205778,0.14869,0.0215744,0.172185,0.0030262,0.0102922,0.00922142,0.0363973,0.00295625,0.00440486,L
L-3,0.0166245,0.402477,0.924555,0.377481,0.535475,0.682449,0.171139,0.710522,0.354208,0.605814,0.170151,0.305803,0.374487,0.135781,0.196329,0.091661,0.109176,0.296162,0.470735,0.163145,0.225794,0.261155,0.00961148,0.00641578,0.035329,0.0327236,0.0216673,0.00738921,0.00303929,0.107501,0.0230612,0.180229,0.00147432,0.0113936,0.00708384,0.0271368,0.0015738,0.00896858,L
L-4,0.030391,0.429736,0.995888,0.389498,0.538343,0.783007,0.198722,0.762596,0.379085,0.676305,0.201766,0.383395,0.467986,0.14649,0.231032,0.110087,0.119047,0.292901,0.432496,0.161188,0.194054,0.234609,0.00918896,0.0048327,0.0374494,0.0381272,0.016066,0.00438993,0.00279181,0.10055,0.0279514,0.176003,0.00125812,0.0132694,0.00628095,0.0271434,0.00129894,0.00344977,L
L-5,0.0182831,0.639501,1.08198,0.487049,0.633091,0.574783,0.219691,0.885795,0.53174,0.890575,0.19533,0.382793,0.525126,0.150385,0.299798,0.0967984,0.153733,0.376135,0.430688,0.107815,0.190359,0.237029,0.00277949,0.00361435,0.033116,0.0349638,0.027575,0.00549296,0.00345311,0.162719,0.0260515,0.201198,-5.70E-05,0.013555,0.00763252,0.0457049,0.000311927,0.00256225,L
L-6,0.0142318,0.551407,1.06345,0.490526,0.580763,0.559408,0.213718,0.846586,0.475089,0.749192,0.199261,0.403819,0.518466,0.147224,0.292655,0.106215,0.149194,0.328065,0.50189,0.116027,0.218514,0.284247,0.00424231,0.00585399,0.0328174,0.0319252,0.0327463,0.0091413,0.00213669,0.129823,0.0251841,0.191694,0.000205032,0.00872718,0.00704902,0.0406606,0.00126869,0.0018831,L
H-1,0.0494939,0.296291,0.944609,0.361094,0.574926,0.922779,0.211087,0.758539,0.288065,0.495596,0.200773,0.48277,0.435117,0.129332,0.258111,0.0908728,0.123897,0.315945,0.383519,0.154338,0.170197,0.18419,0.00616842,0.010821,0.0491914,0.0483296,0.0189038,0.0133873,0.00486865,0.134371,0.0206075,0.163053,0.00239496,0.027701,0.0103456,0.065442,0.00340248,0.00750548,H
H-2,0.0698847,0.304975,0.793222,0.323711,0.558998,0.677432,0.198443,0.630677,0.298944,0.553442,0.192691,0.437177,0.367934,0.112997,0.209012,0.0796216,0.0978618,0.259697,0.51492,0.169293,0.207206,0.246451,0.00585675,0.00838341,0.0606829,0.0506917,0.0119373,0.0110818,0.003761,0.111319,0.0171521,0.141119,0.000768453,0.00772946,0.00645568,0.0468885,0.00123348,0.00343869,H
H-3,0.0472552,0.264484,0.65099,0.280774,0.470843,0.853153,0.213987,0.624062,0.268348,0.545086,0.192893,0.526723,0.343155,0.120696,0.221164,0.0904721,0.103042,0.22194,0.44039,0.168097,0.183479,0.247555,0.00481676,0.00827571,0.0536156,0.0595019,0.00046841,0.00855334,0.00413503,0.0935762,0.0200533,0.113163,-1.18E-06,0.00947639,0.00727404,0.0514939,0.0012522,0.00219913,H
H-4,0.0312827,0.282793,0.699845,0.280894,0.482793,0.936953,0.188245,0.628504,0.278185,0.493242,0.176949,0.486407,0.340335,0.114,0.212412,0.0868174,0.103659,0.239936,0.465663,0.170684,0.21705,0.273258,0.00627679,0.00790573,0.0503549,0.0518893,0.000753376,0.0118113,0.00377105,0.103602,0.0196864,0.125409,-0.000298894,0.00770226,0.0073142,0.0433419,0.000635661,0.00152188,H
H-5,0.0702891,0.293731,1.08925,0.45231,0.681868,0.762304,0.264694,0.90321,0.281627,0.59426,0.251183,0.546797,0.535433,0.158654,0.282652,0.115502,0.135322,0.376665,0.324363,0.142249,0.123125,0.13221,0.00430931,0.0109833,0.0499024,0.0585896,0.0102856,0.00735358,0.00401944,0.1239,0.0259629,0.178495,0.00107876,0.0481876,0.00878413,0.0538421,0.00188991,0.00304809,H
H-6,0.0207962,0.549542,0.963592,0.428674,0.661325,0.74288,0.221076,0.867947,0.476745,0.7105,0.200598,0.515986,0.487093,0.13717,0.318194,0.0991263,0.141128,0.373471,0.357519,0.127972,0.16839,0.200761,0.00134998,0.00971229,0.0564124,0.0568217,0.0125142,0.00860521,0.00550494,0.151635,0.022634,0.184803,0.000107416,0.00908875,0.00810672,0.0726992,0.00185025,0.00147937,H
